exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,walk_time,longest_idle_time,datauuid,day_time
,5664,,3412241,,0,2020-03-22 03:00:01.414,,2020-03-21 03:00:01.206,,,,60,1699049,93,,,,4427.9707,,231.33353,5c284a1e-8cd6-4e57-a16a-0eda98673bc0.extra_data.json,3394367,34740000,5c284a1e-8cd6-4e57-a16a-0eda98673bc0,2020-03-21 00:00:00.000
,823,,547072,,0,2020-08-05 03:18:09.861,,2020-08-04 04:00:00.801,,,,60,34684,15,,,,665.02997,,38.64,1931b030-d3d4-4ec5-a3c6-a05fc167a4a6.extra_data.json,544272,37200000,1931b030-d3d4-4ec5-a3c6-a05fc167a4a6,2020-08-04 00:00:00.000
,3219,,2074230,,0,2020-10-22 03:00:01.640,,2020-10-21 03:01:10.329,,,,60,180000,56,,,,2517.7898,,137.94998,291bb098-1bfd-44d3-b293-5820d6f1f47f.extra_data.json,2066031,20640000,291bb098-1bfd-44d3-b293-5820d6f1f47f,2020-10-21 00:00:00.000
,14132,,8639011,,0,2019-12-03 01:06:46.473,,2019-12-02 03:00:00.353,,,,60,540000,238,,,,10835.901,,573.65027,643b427e-7b90-42e0-9de5-610c6955bb05.extra_data.json,8628720,26460000,643b427e-7b90-42e0-9de5-610c6955bb05,2019-12-02 00:00:00.000
,2118,,1261555,,0,2020-07-17 04:00:01.392,,2020-07-16 04:00:00.708,,,,60,360000,33,,,,1669.9297,,89.079994,b7c3f22f-461f-4970-accc-bc1805579a70.extra_data.json,1250355,36720000,b7c3f22f-461f-4970-accc-bc1805579a70,2020-07-16 00:00:00.000
,672,,448224,,0,2020-06-20 04:00:01.364,,2020-06-19 04:00:05.740,,,,60,33350,11,,,,516.30994,,28.91,4203a975-952a-41a8-bcf8-7420d1fe830a.extra_data.json,448224,34560000,4203a975-952a-41a8-bcf8-7420d1fe830a,2020-06-19 00:00:00.000
,946,,620035,,0,2020-07-12 04:15:06.161,,2020-07-11 04:00:00.978,,,,60,44954,16,,,,756.72003,,41.75,12fca986-ef02-4424-bb36-52fbd4f67245.extra_data.json,603635,47340000,12fca986-ef02-4424-bb36-52fbd4f67245,2020-07-11 00:00:00.000
,2898,,1896734,,0,2020-02-27 02:50:42.109,,2020-02-26 03:00:02.101,,,,60,120000,51,,,,2309.6301,,117.45998,2c867afe-2b5e-4f81-b917-10f1118d2a84.extra_data.json,1888734,27960000,2c867afe-2b5e-4f81-b917-10f1118d2a84,2020-02-26 00:00:00.000
,1578,,1045584,,0,2020-03-18 03:00:02.840,,2020-03-17 03:00:00.762,,,,60,47623,28,,,,1270.7499,,64.579994,c5790e11-0f8f-49ec-ab54-a8d177cf17e0.extra_data.json,1035184,22260000,c5790e11-0f8f-49ec-ab54-a8d177cf17e0,2020-03-17 00:00:00.000
,1905,,1222163,,0,2020-01-10 02:57:46.266,,2020-01-09 03:00:10.964,,,,60,360000,33,,,,1451.4998,,76.78001,7a203e9c-3cd3-406b-a7bd-b23835d033d2.extra_data.json,1219763,28320000,7a203e9c-3cd3-406b-a7bd-b23835d033d2,2020-01-09 00:00:00.000
,4396,,2709430,,0,2020-03-25 02:51:05.253,,2020-03-24 03:00:01.148,,,,60,360000,73,,,,3477.35,,179.10997,022d9d42-1552-4a1a-b11c-ff55cbc6451b.extra_data.json,2683624,25680000,022d9d42-1552-4a1a-b11c-ff55cbc6451b,2020-03-24 00:00:00.000
,13582,,8393775,,0,2019-08-31 03:57:25.840,,2019-08-30 04:00:47.080,,,,60,672943,231,,,,10330.002,,559.9559,764516b1-fbaa-4c3d-8ba4-c7551a4780b8.extra_data.json,8351550,24840000,764516b1-fbaa-4c3d-8ba4-c7551a4780b8,2019-08-30 00:00:00.000
,613,,405934,,0,2020-01-12 00:11:33.214,,2020-01-11 03:00:01.738,,,,60,43355,10,,,,483.09,,24.010002,a4c97f73-ec3e-4d4e-80f4-caacbedfaf5c.extra_data.json,401534,25200000,a4c97f73-ec3e-4d4e-80f4-caacbedfaf5c,2020-01-11 00:00:00.000
,1813,,1204999,,0,2020-02-25 02:59:18.784,,2020-02-24 03:00:00.807,,,,60,43355,31,,,,1469.2502,,74.11002,33e1d28a-3807-4095-8895-e7ad801293a1.extra_data.json,1198599,34620000,33e1d28a-3807-4095-8895-e7ad801293a1,2020-02-24 00:00:00.000
,3007,,1924320,,0,2019-08-25 02:53:20.460,,2019-08-24 04:00:00.420,,,,60,180000,53,,,,2275.7107,,125.560005,4177b712-eafb-4798-8697-053954ae319b.extra_data.json,1920411,24840000,4177b712-eafb-4798-8697-053954ae319b,2019-08-24 00:00:00.000
,3927,,2382499,,0,2019-11-15 03:00:01.687,,2019-11-14 03:00:00.828,,,,60,540000,65,,,,3027.16,,157.71,499c1a40-bdd1-4460-b14e-9dc95c5222a0.extra_data.json,2378499,20580000,499c1a40-bdd1-4460-b14e-9dc95c5222a0,2019-11-14 00:00:00.000
,6293,,4060862,,0,2019-11-23 00:00:09.061,,2019-11-22 03:00:00.805,,,,60,240000,111,,,,4703.36,,256.48,26b56e06-a837-4a3b-97fd-c31d92be9947.extra_data.json,4052062,28080000,26b56e06-a837-4a3b-97fd-c31d92be9947,2019-11-22 00:00:00.000
,4147,,2569246,,0,2019-12-01 02:57:52.707,,2019-11-30 03:00:00.434,,,,60,240000,70,,,,3156.3806,,174.65,4df3f47c-9134-4f0b-81a2-5434f40f929c.extra_data.json,2550193,15660000,4df3f47c-9134-4f0b-81a2-5434f40f929c,2019-11-30 00:00:00.000
,7994,,4892392,,0,2019-12-12 23:11:53.467,,2019-12-12 03:00:00.609,,,,60,420000,135,,,,6155.47,,334.33987,773ef63f-a0c2-477e-8e2e-e8e60d0b6354.extra_data.json,4866413,20400000,773ef63f-a0c2-477e-8e2e-e8e60d0b6354,2019-12-12 00:00:00.000
