sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,wind_speed_unit,forecast_time,wind_speed
0.0,2018-10-11 00:06:31.854,-33.425644,,SO. 230,Bruma,0.0,1,TWC,2018-10-11 00:06:31.856,2018-10-11 00:06:31.856,1,-70.61406,17.0,51,UTC-0300,km/h,0.0,8.0
0.0,2020-01-30 11:31:02.786,-33.49905,,SE. 130,Soleado,0.0,1,TWC,2020-01-30 11:31:02.802,2020-01-30 11:31:02.802,1,-70.60959,18.0,55,UTC-0300,km/h,0.0,6.0
0.0,2020-04-26 20:16:05.095,-30.598,,O. 270,Soleado,0.0,1,TWC,2020-04-26 20:16:05.098,2020-04-26 20:16:05.098,1,-71.18859,20.0,49,UTC-0400,km/h,0.0,19.0
0.0,2020-06-25 18:16:08.049,-30.600565,,ONO. 290,Nublado,0.0,1,TWC,2020-06-25 18:16:08.051,2020-06-25 18:16:08.051,1,-71.18854,14.0,54,UTC-0400,km/h,0.0,8.0
0.0,2020-12-24 10:03:48.238,-30.605255,,SO. 220,Soleado,0.0,1,TWC,2020-12-24 10:03:48.245,2020-12-24 10:03:48.245,1,-71.1896,13.0,92,UTC-0300,km/h,0.0,5.0
0.0,2019-05-20 19:15:10.795,-33.420185,,SO. 230,Muy nublado,0.0,1,TWC,2019-05-20 19:15:10.803,2019-05-20 19:15:10.803,1,-70.65483,11.0,57,UTC-0400,km/h,0.0,13.0
0.0,2020-12-21 08:41:41.147,-33.48363,,ESE. 120,Soleado,0.0,1,TWC,2020-12-21 08:41:41.151,2020-12-21 08:41:41.151,1,-70.68374,15.0,57,UTC-0300,km/h,0.0,0.0
0.0,2019-06-14 12:42:45.924,-33.500694,,ENE. 60,Soleado,0.0,1,TWC,2019-06-14 12:42:45.926,2019-06-14 12:42:45.926,1,-70.608574,4.0,87,UTC-0400,km/h,0.0,3.0
0.0,2018-04-19 21:06:19.756,-33.438717,,OSO. 250,Bruma,0.0,1,TWC,2018-04-19 21:06:19.768,2018-04-19 21:06:19.768,1,-70.621796,26.0,28,UTC-0300,km/h,0.0,8.0
0.0,2019-06-20 21:35:04.452,-33.51436,,O. 270,Soleado,0.0,1,TWC,2019-06-20 21:35:04.454,2019-06-20 21:35:04.454,1,-70.60037,16.0,40,UTC-0400,km/h,0.0,3.0
0.0,2019-05-20 21:51:05.140,-33.460682,,E. 80,Parcialmente nublado,0.0,1,TWC,2019-05-20 21:51:05.147,2019-05-20 21:51:05.147,1,-70.69049,10.0,59,UTC-0400,km/h,0.0,3.0
0.0,2018-11-24 22:55:47.289,-33.429813,,OSO. 240,Soleado,0.0,1,TWC,2018-11-24 22:55:47.295,2018-11-24 22:55:47.295,1,-70.61964,27.0,17,UTC-0300,km/h,0.0,16.0
